price,location,area,year,rooms,level,state
395 588 zł,"Kraków, Nowa Huta, Czyżyny, Centralna","44,20 m²",2022,2,4,do wykończenia
315 000 zł,"Kraków, Nowa Huta, Czyżyny, ul. Nowohucka",36 m²,2000,1,4,do zamieszkania
530 000 zł,"Kraków, Mistrzejowice, Piasta Kołodzieja","48,50 m²",2020,3,5,do zamieszkania
655 000 zł,"Kraków, Mistrzejowice, Osiedle Piastów",66 m²,2020,4,1,do zamieszkania
485 000 zł,"Kraków, Nowa Huta, Czyżyny, ul. Sołtysowska",50 m²,2009,3,1,do zamieszkania
430 000 zł,"Kraków, Nowa Huta, Szkolne","47,68 m²",1960,3,3,do zamieszkania
468 000 zł,"Kraków, Mistrzejowice, os. Tysiąclecia",60 m²,1970,3,3,do remontu
629 000 zł,"Kraków, Mistrzejowice",63 m²,2020,3,1,do zamieszkania
426 666 zł,"Kraków, Nowa Huta, Czyżyny, ul. Sołtysowska","41,83 m²",2022,3,1,do wykończenia
320 892 zł,"Kraków, Nowa Huta, Czyżyny, ul. Sołtysowska","31,46 m²",2022,2,1,do wykończenia
487 000 zł,"Kraków, Nowa Huta, Czyżyny, os. Dywizjonu 303","60,40 m²",1982,3,parter,do zamieszkania
487 000 zł,"Kraków, Nowa Huta, Czyżyny, os. Dywizjonu 303","60,40 m²",1982,3,parter,do zamieszkania
